37703,1580410348,0
37703,1580456430,0
37703,1580460397,0
37703,1580460491,0
37703,1580463875,0
37703,1580464714,0
37703,1580823766,0
37703,1580884007,0
37703,1580901322,0
37703,1580968929,0
37703,1581016928,0
37703,1581017887,0
37703,1581054458,0
37703,1581054538,0
37703,1581077975,0
37703,1581078939,0
37703,1581341494,0
37703,1581341529,0
37703,1581514394,0
37703,1581568111,0
37703,1582014810,0
37703,1582015251,0
37703,1582097779,0
37703,1582097992,0
37703,1582098140,0
37703,1582098184,0
37703,1582118017,0
37703,1582118152,0
37703,1582492326,0
37703,1582492868,0
37703,1582730063,0
37703,1582730321,0
37703,1582871416,0
37703,1582882392,0
37703,1582882549,0
37703,1582882584,0
37703,1582905944,0
37703,1582906848,0
37703,1583002360,0
37703,1583002567,0
37704,1532476885,0
37704,1541593741,1
37704,1544085287,0
37704,1544128140,1
37704,1547652918,0
37704,1548368284,-1
37704,1549316864,-1
37704,1557824171,-1
37704,1557824304,0
37704,1557827117,-1
37704,1558614681,0
37704,1558615662,0
37704,1559129793,0
37704,1559196698,0
37704,1559199686,0
37704,1559286131,0
37704,1559286451,0
37704,1559562471,0
37704,1559568325,1
37704,1559568414,-1
37704,1559652579,0
37704,1559709368,0
37704,1559880356,1
37704,1559880404,-1
37704,1560170922,1
37704,1560172399,-1
37704,1560505555,0
37704,1561021377,1
37704,1561021478,-1
37704,1561476189,0
37704,1561479622,1
37704,1561479669,-1
37704,1561494805,0
37704,1561546789,0
37704,1561972060,1
37704,1561972110,-1
37704,1562229086,0
37704,1562234573,0
37704,1562915123,1
37704,1562918965,-1
37704,1562932669,1
37704,1573489865,1
37704,1573496241,-1
37704,1573499841,1
37704,1573551264,-1
37704,1573551410,1
37704,1574315962,-1
37704,1574316075,1
37704,1574316617,-1
37704,1574316974,1
37704,1574939018,-1
37704,1574958592,1
37704,1575466997,-1
37704,1575545474,1
37704,1576846495,-1
37704,1576846564,1
37704,1576847109,-1
37704,1576856589,1
37704,1577116131,-1
37704,1577118044,1
37704,1577179354,-1
37704,1577179449,1
37704,1578056589,-1
37704,1578056695,1
37704,1578057128,-1
37704,1578059712,1
37704,1578061120,-1
37704,1578085981,1
37704,1578384761,-1
37704,1578384900,1
37704,1578491303,-1
37704,1578491376,1
37704,1578502425,1
37704,1578990934,-1
37704,1579084713,1
37704,1579098688,-1
37704,1579099579,1
37704,1579794823,-1
37704,1579795212,1
37704,1580187959,-1
37704,1580190507,1
37704,1580217637,-1
37704,1580217670,1
37704,1580282360,-1
37704,1580291628,1
37704,1580293879,-1
37704,1580311287,1
37704,1580354026,-1
37704,1580362958,1
37704,1580380290,-1
37704,1580380776,1
37704,1580410348,-1
37704,1580456430,1
37704,1580460397,-1
37704,1580460491,1
37704,1580463875,-1
37704,1580464714,1
37704,1580823766,-1
37704,1580884007,1
37704,1580901322,-1
37704,1580968929,1
37704,1581016928,-1
37704,1581017887,1
37704,1581054458,-1
37704,1581054538,1
37704,1581077975,-1
37704,1581078939,1
37704,1581341494,-1
37704,1581341529,1
37704,1581492505,0
37704,1581514394,-1
37704,1581568111,1
37704,1582014810,-1
37704,1582015251,1
37704,1582097779,-1
37704,1582097992,1
37704,1582098140,-1
37704,1582098184,1
37704,1582118017,-1
37704,1582118152,1
37704,1582120932,1
37704,1582492326,-1
37704,1582492868,1
37704,1582730063,-1
37704,1582730321,1
37704,1582871416,-1
37704,1582882392,1
37704,1582882549,-1
37704,1582882584,1
37704,1582905944,-1
37704,1582906848,1
37704,1583002360,-1
37704,1583002567,1
37705,1519734780,0
37705,1558610309,1
37705,1558614681,0
37705,1558615662,0
37705,1559196698,0
37705,1559199686,0
37705,1559286131,0
